legislator_id,nombre,distrito,bloque,mandato_inicio,mandato_fin,foto
HCDN3143,"Ballejos, Nancy",Entre Ríos,Pro,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3143.jpg
HCDN1447,"Banfi, Karina",Buenos Aires,Ucr,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1447.jpg
HCDN1447,"Banfi, Karina",Buenos Aires,Ucr,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1447.jpg
HCDN1447,"Banfi, Karina",Buenos Aires,Adelante Buenos Aires,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1447.jpg
HCDN2770,"Barbaro, Hector Cacho",Misiones,Frente de Todos,2019-12-10,2023-12-09,
HCDN1146,"Barbieri, Mario Leandro",Buenos Aires,Ucr,2009-12-10,2013-12-09,
HCDN3223,"Barbur, Marcelo",Santiago del Estero,Unión por la Patria,2025-12-10,2029-12-09,
HCDN1239,"Barchetta, Omar Segundo",Santa Fe,Partido Socialista,2011-12-10,2015-12-09,
HCDN1389,"Bardeggia, Luis Maria",Río Negro,Frente para la Victoria - Pj,2013-12-10,2017-12-09,
HCDN2906,"Barletta, Mario",Santa Fe,Unidos,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2906.jpg
HCDN1401,"Barletta, Mario Domingo",Santa Fe,Ucr,2013-12-10,2017-12-09,
HCDN1147,"Barrandeguy, Raul Enrique",Entre Ríos,Frente para la Victoria - Pj,2009-12-10,2013-12-09,
HCDN1373,"Barreto, Jorge Ruben",Entre Ríos,Frente para la Victoria - Pj,2013-12-10,2017-12-09,
HCDN0977,"Barrios, Miguel Angel",Santa Fe,Partido Socialista,2007-12-10,2011-12-09,
HCDN0578,"Basteiro, Sergio Ariel",Buenos Aires,Nuevo Encuentro Popular y Solidario,2007-12-10,2011-12-09,
HCDN1240,"Basterra, Luis Eugenio",Formosa,Frente para la Victoria - Pj,2011-12-10,2015-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1240.jpg
HCDN1240,"Basterra, Luis Eugenio",Formosa,Frente para la Victoria - Pj,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1240.jpg
HCDN1240,"Basterra, Luis Eugenio",Formosa,Frente de Todos,2019-12-10,2019-12-10,https://api.argentinadatos.com/static/diputados/diputados/HCDN1240.jpg
HCDN1240,"Basterra, Luis Eugenio",Formosa,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1240.jpg
HCDN3268,"Basualdo, Atilio",Formosa,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN3209,"Basualdo, Carolina",Córdoba,Provincias Unidas,2025-12-10,2029-12-09,
HCDN1241,"Bazze, Miguel Angel",Buenos Aires,Ucr,2011-12-10,2015-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1241.jpg
HCDN1241,"Bazze, Miguel Angel",Buenos Aires,Ucr,2015-12-10,2019-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1241.jpg
HCDN1241,"Bazze, Miguel Angel",Buenos Aires,Ucr,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1241.jpg
HCDN3201,"Becerra, Monica",San Luis,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN0978,"Bedano, Nora Esther",Córdoba,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN0978,"Bedano, Nora Esther",Córdoba,Frente para la Victoria - Pj,2011-12-10,2015-12-09,
HCDN1570,"Bellocq, Gerardo Alberto",Córdoba,Ucr,2013-12-10,2016-04-26,
HCDN0979,"Belous, Nelida",Tierra del Fuego,Social Patagonico,2007-12-10,2011-12-09,
HCDN0980,"Benas, Veronica Claudia",Santa Fe,Unidad Popular,2007-12-10,2011-12-09,
HCDN1148,"Benedetti, Atilio",Entre Ríos,Ucr,2009-12-10,2013-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1148.jpg
HCDN1148,"Benedetti, Atilio",Entre Ríos,Ucr,2017-12-10,2021-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1148.jpg
