id,nombre,distrito,source,foto
HCDN0726,"Comelli, Alicia Marcela",Neuquén,argentinadatos,
HCDN1159,"Comi, Carlos Marcelo",Santa Fe,argentinadatos,
HCDN1566,"Conesa, Eduardo Raul",CABA,argentinadatos,
HCDN0181,"Conti, Diana Beatriz",Buenos Aires,argentinadatos,
HCDN2369,"Contigiani, Luis Gustavo",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2369.jpg
HCDN1332,"Contrera, Monica Graciela",Chubut,argentinadatos,
HCDN1578,"Copes, Ana Isabel",Santa Fe,argentinadatos,
HCDN0597,"Cordoba, Stella Maris",Tucumán,argentinadatos,
vote-cornejo-alfredo,"Cornejo, Alfredo",,votes,
HCDN0870,"Cornejo, Alfredo Victor",Mendoza,argentinadatos,
HCDN2782,"Cornejo, Virginia",Salta,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2782.jpg
